source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
User_JiTfdloss_2,429,0.98,0.68,0.67,0.79,0.42,0.89,0.28,0.6,0.34,0.71
User_JiTfdloss_2,432,0.88,0.68,0.61,0.76,1.2,1.04,0.73,0.63,0.91,0.78
User_JiTfdloss_2,443,0.95,0.84,0.8,0.89,0.22,0.67,0.18,0.54,0.19,0.59
User_JiTfdloss_2,446,0.78,0.6,0.47,0.68,1.08,0.73,0.51,0.34,0.73,0.49
User_JiTfdloss_2,453,0.73,0.64,0.51,0.67,0.59,0.83,0.3,0.42,0.4,0.56
User_JiTfdloss_2,461,0.93,0.72,0.67,0.79,0.47,0.85,0.32,0.56,0.37,0.67
User_JiTfdloss_2,477,0.73,0.6,0.44,0.65,2.16,0.7,0.95,0.31,1.41,0.45
User_JiTfdloss_2,479,0.81,0.68,0.55,0.73,0.53,0.83,0.29,0.46,0.39,0.6
User_JiTfdloss_2,481,0.7,0.56,0.4,0.61,0.37,0.63,0.15,0.25,0.23,0.39
User_JiTfdloss_2,488,0.98,0.84,0.83,0.9,0.69,0.66,0.57,0.54,0.62,0.59
User_JiTfdloss_2,499,0.84,0.44,0.41,0.56,1.13,0.95,0.46,0.39,0.63,0.53
User_JiTfdloss_2,529,0.63,0.32,0.21,0.41,2.52,0.62,0.52,0.13,1.03,0.25
User_JiTfdloss_2,535,0.72,0.64,0.48,0.68,0.45,0.88,0.22,0.43,0.31,0.6
User_JiTfdloss_2,554,0.3,0.4,0.12,0.2,0.93,0.71,0.11,0.09,0.19,0.14
User_JiTfdloss_2,567,0.98,0.72,0.71,0.83,3.44,0.83,2.43,0.59,2.84,0.69
User_JiTfdloss_2,575,0.98,0.64,0.62,0.75,0.85,0.89,0.53,0.55,0.63,0.66
User_JiTfdloss_2,585,0.25,0.44,0.18,0.26,1.12,0.83,0.2,0.15,0.29,0.22
User_JiTfdloss_2,590,0.76,0.48,0.38,0.58,1.0,0.83,0.38,0.31,0.58,0.48
User_JiTfdloss_2,605,0.78,0.56,0.45,0.64,1.94,0.43,0.87,0.19,1.25,0.28
User_JiTfdloss_2,606,0.76,0.72,0.55,0.72,1.02,0.81,0.57,0.45,0.74,0.59
User_JiTfdloss_2,626,0.76,0.56,0.45,0.57,2.39,0.77,1.07,0.34,1.35,0.43
User_JiTfdloss_2,632,0.77,0.64,0.52,0.7,0.86,0.81,0.45,0.42,0.6,0.57
User_JiTfdloss_2,633,0.74,0.64,0.51,0.68,0.5,0.5,0.26,0.25,0.34,0.34
User_JiTfdloss_2,634,0.66,0.56,0.4,0.58,0.51,0.83,0.2,0.33,0.3,0.48
User_JiTfdloss_2,645,0.81,0.44,0.36,0.54,0.41,0.67,0.15,0.24,0.22,0.36
User_JiTfdloss_2,654,1.0,0.6,0.6,0.74,1.01,0.83,0.6,0.5,0.75,0.62
User_JiTfdloss_2,679,0.65,0.64,0.45,0.63,0.6,0.72,0.27,0.32,0.38,0.45
User_JiTfdloss_2,687,1.0,0.84,0.84,0.91,0.36,0.84,0.3,0.71,0.33,0.77
User_JiTfdloss_2,730,0.75,0.52,0.42,0.59,1.09,0.81,0.45,0.34,0.65,0.48
User_JiTfdloss_2,743,0.8,0.72,0.61,0.73,1.02,0.77,0.63,0.47,0.74,0.56
User_JiTfdloss_2,746,0.67,0.44,0.34,0.51,0.56,1.07,0.19,0.36,0.28,0.54
User_JiTfdloss_2,755,0.98,0.96,0.94,0.97,0.2,0.82,0.19,0.77,0.19,0.79
User_JiTfdloss_2,756,0.47,0.56,0.29,0.44,1.85,0.63,0.54,0.18,0.82,0.28
User_JiTfdloss_2,806,0.9,0.68,0.61,0.76,0.78,0.77,0.48,0.47,0.6,0.58
User_JiTfdloss_2,810,0.75,0.56,0.46,0.62,0.34,0.83,0.16,0.38,0.21,0.52
User_JiTfdloss_2,819,0.97,0.56,0.53,0.68,0.28,0.54,0.15,0.29,0.19,0.37
User_JiTfdloss_2,836,0.06,0.52,0.04,0.1,1.16,0.77,0.05,0.03,0.12,0.08
User_JiTfdloss_2,903,0.83,0.52,0.45,0.63,1.21,0.83,0.54,0.37,0.76,0.52
User_JiTfdloss_2,917,0.56,0.32,0.17,0.37,0.89,0.73,0.15,0.12,0.33,0.27
User_JiTfdloss_2,919,0.49,0.32,0.15,0.36,1.49,0.83,0.23,0.13,0.54,0.3
User_JiTfdloss_2,920,0.82,0.68,0.59,0.73,0.62,0.77,0.36,0.45,0.45,0.56
User_JiTfdloss_2,922,0.52,0.44,0.23,0.39,0.3,0.5,0.07,0.11,0.12,0.2
User_JiTfdloss_2,928,0.9,0.72,0.66,0.8,2.24,0.75,1.47,0.49,1.79,0.59
User_JiTfdloss_2,931,1.0,0.76,0.76,0.84,0.63,0.85,0.48,0.65,0.53,0.72
User_JiTfdloss_2,943,0.7,0.56,0.45,0.59,0.81,0.83,0.37,0.38,0.47,0.49
User_JiTfdloss_2,952,1.0,0.8,0.8,0.87,0.96,0.98,0.77,0.78,0.84,0.85
User_JiTfdloss_2,960,0.95,0.48,0.46,0.63,2.56,0.72,1.18,0.33,1.62,0.45
User_JiTfdloss_2,962,1.0,0.68,0.68,0.8,0.6,0.8,0.41,0.54,0.48,0.64
User_JiTfdloss_2,968,0.97,0.84,0.82,0.9,1.68,0.76,1.38,0.62,1.5,0.68
User_JiTfdloss_2,971,0.98,0.64,0.62,0.76,0.38,0.85,0.24,0.52,0.29,0.64
User_JiTfdloss_2,972,0.93,0.72,0.68,0.8,1.84,0.76,1.25,0.52,1.47,0.6
User_JiTfdloss_2,981,0.82,0.48,0.39,0.59,0.66,0.97,0.26,0.38,0.39,0.57
User_JiTfdloss_2,982,0.75,0.36,0.3,0.45,1.2,0.93,0.36,0.28,0.54,0.41
User_JiTfdloss_2,983,0.81,0.48,0.4,0.6,0.47,0.88,0.19,0.35,0.28,0.53
User_JiTfdloss_2,985,0.76,0.8,0.62,0.77,1.75,0.76,1.09,0.47,1.35,0.59
User_JiTfdloss_2,991,0.9,0.8,0.72,0.84,0.55,0.85,0.39,0.61,0.46,0.72
User_JiTfdloss_2,999,0.62,0.56,0.39,0.54,1.31,1.02,0.52,0.4,0.7,0.55
User_JiTfdloss_3,4,1.0,0.72,0.72,0.83,0.86,0.76,0.62,0.55,0.71,0.64
User_JiTfdloss_3,7,0.91,0.56,0.51,0.67,0.67,0.98,0.34,0.5,0.45,0.66
User_JiTfdloss_3,10,0.89,0.72,0.66,0.79,0.8,0.86,0.53,0.57,0.63,0.68
User_JiTfdloss_3,25,1.0,0.84,0.84,0.91,1.24,0.93,1.04,0.78,1.12,0.84
User_JiTfdloss_3,35,0.96,0.72,0.7,0.81,1.12,0.93,0.78,0.65,0.9,0.75
User_JiTfdloss_3,39,0.95,0.68,0.66,0.77,0.74,0.86,0.48,0.57,0.57,0.66
User_JiTfdloss_3,49,0.95,0.72,0.69,0.81,0.92,0.92,0.64,0.63,0.74,0.74
User_JiTfdloss_3,51,0.71,0.72,0.51,0.67,0.87,0.95,0.45,0.49,0.59,0.64
User_JiTfdloss_3,52,0.74,0.8,0.61,0.75,2.16,0.91,1.32,0.56,1.63,0.69
User_JiTfdloss_3,64,0.89,0.68,0.61,0.76,1.07,0.85,0.65,0.52,0.81,0.65
User_JiTfdloss_3,80,0.96,0.6,0.59,0.72,0.61,1.0,0.36,0.59,0.44,0.72
User_JiTfdloss_3,97,1.0,0.84,0.84,0.91,1.44,0.86,1.21,0.72,1.32,0.78
User_JiTfdloss_3,106,1.0,0.6,0.6,0.73,3.09,0.94,1.85,0.56,2.27,0.69
User_JiTfdloss_3,116,1.0,1.0,1.0,1.0,0.44,0.74,0.44,0.74,0.44,0.74
User_JiTfdloss_3,118,0.76,0.64,0.49,0.67,0.99,0.72,0.48,0.35,0.67,0.49
User_JiTfdloss_3,129,0.73,0.64,0.5,0.67,0.59,0.91,0.29,0.45,0.4,0.61
User_JiTfdloss_3,144,0.9,0.64,0.58,0.75,1.14,1.02,0.66,0.59,0.85,0.76
User_JiTfdloss_3,147,1.0,0.8,0.8,0.89,1.11,0.99,0.88,0.79,0.98,0.88
User_JiTfdloss_3,150,0.94,0.68,0.65,0.79,1.24,0.84,0.8,0.54,0.97,0.66
User_JiTfdloss_3,156,0.97,0.72,0.7,0.82,0.61,1.04,0.43,0.73,0.5,0.85
User_JiTfdloss_3,159,0.8,0.52,0.42,0.59,1.05,0.97,0.43,0.4,0.62,0.57
User_JiTfdloss_3,281,1.0,0.64,0.64,0.77,1.37,0.78,0.87,0.5,1.05,0.6
User_JiTfdloss_3,300,0.92,0.92,0.86,0.92,0.57,0.97,0.49,0.84,0.53,0.89
