group,alignment_threshold,authenticity_threshold,probability
Sys_JiTfdloss_ref_500,0.02,0.68,0.3999999999999997
Sys_JiTfdloss_ref_500,0.02,0.7,0.3419999999999998
Sys_JiTfdloss_ref_500,0.02,0.72,0.3059999999999999
Sys_JiTfdloss_ref_500,0.02,0.74,0.25999999999999995
Sys_JiTfdloss_ref_500,0.02,0.76,0.20399999999999988
Sys_JiTfdloss_ref_500,0.02,0.78,0.16399999999999995
Sys_JiTfdloss_ref_500,0.02,0.8,0.13599999999999995
Sys_JiTfdloss_ref_500,0.02,0.82,0.11199999999999999
Sys_JiTfdloss_ref_500,0.02,0.84,0.08600000000000003
Sys_JiTfdloss_ref_500,0.02,0.86,0.07200000000000002
Sys_JiTfdloss_ref_500,0.02,0.88,0.06400000000000002
Sys_JiTfdloss_ref_500,0.02,0.9,0.058000000000000024
Sys_JiTfdloss_ref_500,0.02,0.92,0.04600000000000002
Sys_JiTfdloss_ref_500,0.02,0.94,0.04200000000000001
Sys_JiTfdloss_ref_500,0.02,0.96,0.038000000000000006
Sys_JiTfdloss_ref_500,0.02,0.98,0.030000000000000006
Sys_JiTfdloss_ref_500,0.02,1.0,0.006000000000000001
Sys_JiTfdloss_ref_500,0.04,0.0,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.02,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.04,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.06,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.08,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.1,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.12,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.14,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.16,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.18,0.982
Sys_JiTfdloss_ref_500,0.04,0.2,0.9739999999999999
Sys_JiTfdloss_ref_500,0.04,0.22,0.9699999999999999
Sys_JiTfdloss_ref_500,0.04,0.24,0.9640000000000001
Sys_JiTfdloss_ref_500,0.04,0.26,0.9579999999999999
Sys_JiTfdloss_ref_500,0.04,0.28,0.9479999999999998
Sys_JiTfdloss_ref_500,0.04,0.3,0.9339999999999999
Sys_JiTfdloss_ref_500,0.04,0.32,0.8419999999999997
Sys_JiTfdloss_ref_500,0.04,0.34,0.8319999999999996
Sys_JiTfdloss_ref_500,0.04,0.36,0.8219999999999995
Sys_JiTfdloss_ref_500,0.04,0.38,0.8079999999999995
Sys_JiTfdloss_ref_500,0.04,0.4,0.7879999999999996
Sys_JiTfdloss_ref_500,0.04,0.42,0.7419999999999994
Sys_JiTfdloss_ref_500,0.04,0.44,0.7199999999999998
Sys_JiTfdloss_ref_500,0.04,0.46,0.6939999999999997
Sys_JiTfdloss_ref_500,0.04,0.48,0.65
Sys_JiTfdloss_ref_500,0.04,0.5,0.636
Sys_JiTfdloss_ref_500,0.04,0.52,0.606
Sys_JiTfdloss_ref_500,0.04,0.54,0.584
Sys_JiTfdloss_ref_500,0.04,0.56,0.5720000000000001
Sys_JiTfdloss_ref_500,0.04,0.58,0.5459999999999999
Sys_JiTfdloss_ref_500,0.04,0.6,0.5099999999999999
Sys_JiTfdloss_ref_500,0.04,0.62,0.48999999999999994
Sys_JiTfdloss_ref_500,0.04,0.64,0.44799999999999984
Sys_JiTfdloss_ref_500,0.04,0.66,0.4259999999999998
Sys_JiTfdloss_ref_500,0.04,0.68,0.3999999999999997
Sys_JiTfdloss_ref_500,0.04,0.7,0.3419999999999998
Sys_JiTfdloss_ref_500,0.04,0.72,0.3059999999999999
Sys_JiTfdloss_ref_500,0.04,0.74,0.25999999999999995
Sys_JiTfdloss_ref_500,0.04,0.76,0.20399999999999988
Sys_JiTfdloss_ref_500,0.04,0.78,0.16399999999999995
Sys_JiTfdloss_ref_500,0.04,0.8,0.13599999999999995
Sys_JiTfdloss_ref_500,0.04,0.82,0.11199999999999999
Sys_JiTfdloss_ref_500,0.04,0.84,0.08600000000000003
Sys_JiTfdloss_ref_500,0.04,0.86,0.07200000000000002
Sys_JiTfdloss_ref_500,0.04,0.88,0.06400000000000002
Sys_JiTfdloss_ref_500,0.04,0.9,0.058000000000000024
Sys_JiTfdloss_ref_500,0.04,0.92,0.04600000000000002
Sys_JiTfdloss_ref_500,0.04,0.94,0.04200000000000001
Sys_JiTfdloss_ref_500,0.04,0.96,0.038000000000000006
Sys_JiTfdloss_ref_500,0.04,0.98,0.030000000000000006
Sys_JiTfdloss_ref_500,0.04,1.0,0.006000000000000001
Sys_JiTfdloss_ref_500,0.06,0.0,0.9839999999999999
Sys_JiTfdloss_ref_500,0.06,0.02,0.9839999999999999
Sys_JiTfdloss_ref_500,0.06,0.04,0.9839999999999999
Sys_JiTfdloss_ref_500,0.06,0.06,0.9839999999999999
Sys_JiTfdloss_ref_500,0.06,0.08,0.9839999999999999
Sys_JiTfdloss_ref_500,0.06,0.1,0.9839999999999999
Sys_JiTfdloss_ref_500,0.06,0.12,0.9839999999999999
Sys_JiTfdloss_ref_500,0.06,0.14,0.9839999999999999
Sys_JiTfdloss_ref_500,0.06,0.16,0.9839999999999999
Sys_JiTfdloss_ref_500,0.06,0.18,0.982
Sys_JiTfdloss_ref_500,0.06,0.2,0.9739999999999999
Sys_JiTfdloss_ref_500,0.06,0.22,0.9699999999999999
Sys_JiTfdloss_ref_500,0.06,0.24,0.9640000000000001
Sys_JiTfdloss_ref_500,0.06,0.26,0.9579999999999999
