score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),500,4.053,4.445,1.2196,0.0,5.0,4.0,4.0,8.6,19.0,64.4,-1.5454,1.9443
alignment_score,Sys_JiTfdloss_ref_500 (3次平均),500,3.9437,4.3633,1.1225,0.0,5.0,3.8,4.6,8.6,19.6,63.4,-1.6075,2.1384
artifact_score,Human (3人平均),500,3.1953,3.3333,0.9907,0.3333,5.0,1.8,18.2,27.4,39.6,13.0,-0.2084,-0.7299
artifact_score,Sys_JiTfdloss_ref_500 (3次平均),500,2.9453,3.0333,1.0043,0.8733,5.0,1.2,22.2,26.2,36.6,13.8,-0.0421,-0.9197
