score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_JiTfdloss_ref_500,3.9437,4.053,-0.1092,-0.15,30.4,68.0,0.8396,0.7755,0.8334,0.8367
artifact_score,Sys_JiTfdloss_ref_500,2.9453,3.1953,-0.2501,-0.2033,29.2,69.8,0.7981,0.793,0.7741,0.7981
