score_type,N,"ICC(2,1)_single_random","ICC(3,1)_single_mixed","ICC(2,k)_avg_random","ICC(3,k)_avg_mixed",Rater1_mean,Rater2_mean,Rater3_mean,Rater1_std,Rater2_std,Rater3_std
alignment,1000,0.4554,0.4984,0.7488,0.7859,3.9162,3.2316,2.9447,1.5044,1.7234,1.6289
artifact,1000,0.5457,0.5464,0.7833,0.7837,3.883,3.856,3.783,1.0689,1.1578,1.4553
