source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_DiT_noexpert_1,4,0.9907999999999999,0.986,0.9770239999999999,0.9882019636236334
Sys_DiT_noexpert_1,7,0.8799999999999999,0.8879999999999999,0.7870799999999999,0.8818288302814841
Sys_DiT_noexpert_1,10,0.8507999999999999,0.812,0.7425240000000001,0.8303976489028212
Sys_DiT_noexpert_1,25,0.8,0.782,0.6570199999999999,0.7886857142857143
Sys_DiT_noexpert_1,35,0.736,0.8055999999999999,0.5991839999999999,0.767357383288877
Sys_DiT_noexpert_1,39,0.774,0.7939999999999999,0.6561,0.7828642251386047
Sys_DiT_noexpert_1,49,0.9199999999999999,0.9368000000000001,0.871912,0.9277997380782625
Sys_DiT_noexpert_1,51,0.836,0.884,0.807,0.8554326811538164
Sys_DiT_noexpert_1,52,0.794,0.834,0.68606,0.8051395235185345
Sys_DiT_noexpert_1,64,0.6476,0.8128,0.540576,0.7123757672754916
Sys_DiT_noexpert_1,80,0.9815999999999999,0.75,0.7379119999999999,0.8369815826586873
Sys_DiT_noexpert_1,97,0.954,0.9279999999999999,0.89856,0.9398014184397162
Sys_DiT_noexpert_1,106,0.9815999999999999,0.8648,0.849168,0.9159600159750882
Sys_DiT_noexpert_1,116,1.0,1.0,1.0,1.0
Sys_DiT_noexpert_1,118,0.8128,0.8596,0.7162,0.8349381017881706
Sys_DiT_noexpert_1,129,0.818,0.8108000000000001,0.662396,0.8107960569761055
Sys_DiT_noexpert_1,144,0.9588000000000001,0.9259999999999999,0.890464,0.941290417833598
Sys_DiT_noexpert_1,147,0.9359999999999999,0.8619999999999999,0.81334,0.8920017209973
Sys_DiT_noexpert_1,150,0.8320000000000001,0.8448,0.712496,0.8209794702280803
Sys_DiT_noexpert_1,156,0.9868,0.924,0.9118359999999999,0.9522993238099845
Sys_DiT_noexpert_1,159,0.708,0.7048,0.5261760000000001,0.6901162140503415
Sys_DiT_noexpert_1,281,0.9648,0.9380000000000001,0.910704,0.9508476489028214
Sys_DiT_noexpert_1,300,0.966,0.994,0.9610200000000001,0.9789111111111112
Sys_DiT_noexpert_1,322,0.9336,0.954,0.9021359999999999,0.9432784310245375
Sys_DiT_noexpert_1,330,0.874,0.9208000000000001,0.813016,0.8956509197103074
Sys_DiT_noexpert_1,333,0.96,0.826,0.8027799999999999,0.8810741200828158
Sys_DiT_noexpert_1,339,0.858,0.76,0.6645200000000001,0.7978823529411765
Sys_DiT_noexpert_1,347,0.9827999999999999,0.906,0.892896,0.9400789944201925
Sys_DiT_noexpert_1,356,0.8848,0.8,0.709244,0.8348115406865556
Sys_DiT_noexpert_1,365,0.962,0.968,0.93256,0.9646823747840678
Sys_DiT_noexpert_1,370,0.8699999999999999,0.8507999999999999,0.762572,0.8587482514937811
Sys_DiT_noexpert_1,389,0.24,0.7116,0.170012,0.3520207907585541
Sys_DiT_noexpert_1,392,0.754,0.8019999999999999,0.6196200000000001,0.7626358382864538
Sys_DiT_noexpert_1,394,0.782,0.6108,0.509156,0.6766446938055978
Sys_DiT_noexpert_1,396,0.9556000000000001,0.8652,0.8324128,0.9030798420960663
Sys_DiT_noexpert_1,400,0.868,0.6888,0.6352559999999999,0.7622962128282611
Sys_DiT_noexpert_1,405,0.8208,0.628,0.563364,0.7072427605842297
Sys_DiT_noexpert_1,406,0.9936,0.932,0.9266880000000001,0.9588835882260419
Sys_DiT_noexpert_1,413,0.6759999999999999,0.6384000000000001,0.469088,0.6489591421990826
Sys_DiT_noexpert_1,415,0.654,0.6599999999999999,0.49692,0.6150897052704747
Sys_DiT_noexpert_1,419,0.554,0.5776,0.362432,0.5276391295939958
Sys_DiT_noexpert_1,421,0.868,0.626,0.57194,0.7151720586607924
Sys_DiT_noexpert_1,426,0.648,0.476,0.329,0.5461648525623635
Sys_DiT_noexpert_1,429,0.954,0.8859999999999999,0.86622,0.9103666666666668
Sys_DiT_noexpert_1,432,0.8968,0.624,0.591396,0.7143136124473513
Sys_DiT_noexpert_1,443,0.9339999999999999,0.8507999999999999,0.798176,0.8878954087777616
Sys_DiT_noexpert_1,446,0.7140000000000001,0.5548,0.368996,0.566829002050155
Sys_DiT_noexpert_1,453,0.8092,0.64,0.545976,0.7107383496058732
Sys_DiT_noexpert_1,461,0.9248000000000001,0.892,0.8279160000000001,0.9051547319489661
Sys_DiT_noexpert_1,477,0.33799999999999997,0.5980000000000001,0.18888,0.34445143203348755
Sys_DiT_noexpert_1,479,0.578,0.6508,0.48255599999999993,0.598190194041785
Sys_DiT_noexpert_1,481,0.4880000000000001,0.41479999999999995,0.24807600000000002,0.40969721074944054
Sys_DiT_noexpert_1,488,0.8119999999999999,0.7828,0.681996,0.796527002643883
Sys_DiT_noexpert_1,499,0.8220000000000001,0.5820000000000001,0.48035999999999995,0.639913481826275
Sys_DiT_noexpert_1,529,0.8220000000000001,0.5148,0.447396,0.6054746029040978
Sys_DiT_noexpert_1,535,0.786,0.7388,0.5936440000000001,0.7597677146114199
Sys_DiT_noexpert_1,554,0.8,0.72,0.672,0.7280632411067194
Sys_DiT_noexpert_1,567,0.9460000000000001,0.7,0.66212,0.801770306650466
Sys_DiT_noexpert_1,575,0.8859999999999999,0.6948000000000001,0.618476,0.7753826376436803
Sys_DiT_noexpert_1,585,0.32199999999999995,0.4668,0.12003599999999999,0.28120051512130273
Sys_DiT_noexpert_1,590,0.834,0.6516,0.558548,0.7255208151788511
Sys_DiT_noexpert_1,605,0.5008,0.47400000000000003,0.22341599999999998,0.4106395201330155
Sys_DiT_noexpert_1,606,0.756,0.6668000000000001,0.5494760000000001,0.703194818339163
Sys_DiT_noexpert_1,626,0.78,0.6300000000000001,0.55616,0.6904525631016257
Sys_DiT_noexpert_1,632,0.726,0.6756,0.541868,0.6961675731234503
Sys_DiT_noexpert_1,633,0.8688,0.692,0.5980360000000001,0.7612090477624279
