model,FID,FID_rank,Human_composite_harmonic,Human_rank,Sys_composite_harmonic,Sys_rank
JiT_FDloss,0.72,1.5,0.6867,1.0,0.65,1.0
IMF_FDloss,0.72,1.5,0.6667,2.0,0.6433,2.0
VAR,2.09,4.0,0.6433,3.0,0.6167,4.0
DiT,2.27,5.0,0.64,4.0,0.6233,3.0
IMF,1.54,3.0,0.6233,5.0,0.5933,5.0
