对比对 (Comparison),Spearman ρ,Spearman p,Pearson r,Pearson p,Normalized RMSE
FID  vs  Human_composite_harmonic,0.6669,0.2189,0.7418,0.1512,0.2935
Sys_composite_harmonic  vs  Human_composite_harmonic,0.9,0.0374,0.9548,0.0115,0.1545
