对比对 (Comparison),Spearman ρ,Spearman p,Pearson r,Pearson p,Normalized RMSE
FID  vs  Human_composite_product,0.5643,0.3217,0.6827,0.204,0.3154
Sys_composite_product  vs  Human_composite_product,1.0,0.0,0.9869,0.0018,0.085
