score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_RAEv2_ref_500,3.8862,3.8685,0.0177,-0.15,40.4,57.2,0.1423,0.1967,0.1416,0.1413
artifact_score,Sys_RAEv2_ref_500,3.048,3.0767,-0.0286,-0.0083,49.2,50.0,0.2394,0.2627,0.2392,0.2389
