score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),500,3.8685,4.4,1.4356,0.0,5.0,7.2,5.8,8.6,15.8,62.6,-1.3583,0.8019
alignment_score,Sys_RAEv2_ref_500 (3次平均),500,3.8862,4.35,1.2804,0.0,5.0,5.4,6.8,9.8,15.2,62.8,-1.4776,1.3185
artifact_score,Human (3人平均),500,3.0767,3.0,1.1006,0.3333,5.0,6.8,17.4,26.8,33.2,15.8,-0.1916,-0.7848
artifact_score,Sys_RAEv2_ref_500 (3次平均),500,3.048,3.2,1.1759,0.85,5.0,0.8,27.8,19.6,34.0,17.8,-0.0108,-1.168
