source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
User_DiT_3,756,0.9,0.6,0.54,0.71,2.14,0.73,1.16,0.4,1.51,0.51
User_DiT_3,806,0.98,0.92,0.9,0.94,0.91,0.89,0.82,0.8,0.86,0.84
User_DiT_3,810,0.7,0.68,0.49,0.69,0.56,1.37,0.27,0.66,0.39,0.94
User_DiT_3,819,0.78,0.52,0.42,0.6,0.45,0.88,0.19,0.37,0.27,0.52
User_DiT_3,836,0.06,0.4,0.01,0.03,1.42,0.94,0.01,0.01,0.05,0.03
User_DiT_3,903,0.57,0.68,0.4,0.51,1.32,0.91,0.53,0.36,0.67,0.46
User_DiT_3,917,0.79,0.48,0.38,0.59,1.23,1.01,0.46,0.38,0.72,0.59
User_DiT_3,919,0.42,0.2,0.08,0.26,1.47,0.82,0.12,0.07,0.38,0.21
User_DiT_3,920,0.8,0.56,0.47,0.65,0.8,0.99,0.37,0.46,0.52,0.64
User_DiT_3,922,0.18,0.2,0.04,0.11,0.45,0.75,0.02,0.03,0.05,0.08
User_DiT_3,928,0.62,0.68,0.41,0.56,2.75,0.91,1.13,0.38,1.53,0.51
User_DiT_3,931,0.93,0.72,0.67,0.78,0.91,1.23,0.61,0.83,0.71,0.96
User_DiT_3,943,0.86,0.68,0.6,0.75,0.88,0.91,0.53,0.54,0.66,0.68
User_DiT_3,952,0.97,0.88,0.85,0.92,1.01,1.02,0.86,0.87,0.92,0.94
User_DiT_3,960,1.0,0.56,0.56,0.69,3.17,0.89,1.77,0.5,2.18,0.61
User_DiT_3,962,0.98,0.72,0.71,0.82,0.72,0.96,0.51,0.68,0.59,0.79
User_DiT_3,968,0.86,0.76,0.67,0.79,2.04,0.92,1.36,0.62,1.62,0.73
User_DiT_3,971,0.7,0.64,0.49,0.61,0.52,1.15,0.25,0.56,0.32,0.7
User_DiT_3,972,0.77,0.48,0.4,0.56,2.44,1.0,0.97,0.4,1.37,0.57
User_DiT_3,981,0.68,0.36,0.26,0.46,0.73,1.08,0.19,0.28,0.34,0.49
User_DiT_3,982,0.45,0.36,0.17,0.34,0.99,0.76,0.17,0.13,0.33,0.26
User_DiT_3,983,0.98,0.56,0.55,0.7,0.44,0.83,0.24,0.46,0.31,0.58
User_DiT_3,985,0.72,0.8,0.62,0.69,1.59,0.69,0.98,0.43,1.1,0.48
User_DiT_3,991,0.96,0.88,0.84,0.91,0.66,1.03,0.56,0.87,0.61,0.94
User_DiT_3,999,1.0,0.6,0.6,0.74,1.23,0.96,0.74,0.57,0.91,0.71
