group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_RAEv2_ref_500,alignment_score,500,3.8862,,,N/A,N/A,N/A
Sys_RAEv2_ref_500,artifact_score,500,3.048,,,N/A,N/A,N/A
Human_DiT_500,alignment_score,500,3.8685,0.3148,0.1542,0.8121,0.812,0.8121
Human_DiT_500,artifact_score,500,3.0767,0.4244,0.154,0.7563,0.7569,0.757
