class_id,num_images,vendi_score
4,5,3.3946151733398438
7,5,2.1419155597686768
10,5,1.9674997329711914
25,5,2.429767608642578
35,5,3.4041290283203125
39,5,2.4952516555786133
49,5,2.7990195751190186
51,5,3.120687961578369
52,5,3.7407195568084717
64,5,3.518648862838745
80,5,3.57839035987854
97,5,3.666917562484741
106,5,3.5979180335998535
116,5,1.863693118095398
118,5,3.593716859817505
129,5,2.639518976211548
144,5,3.024996042251587
147,5,3.1335556507110596
150,5,3.0983023643493652
156,5,2.6618549823760986
159,5,3.8397200107574463
281,5,3.240826368331909
300,5,2.3256354331970215
322,5,4.28422737121582
330,5,3.184417963027954
333,5,2.296131134033203
339,5,3.523552417755127
347,5,2.159027338027954
356,5,3.247006416320801
365,5,2.1786508560180664
370,5,2.308662176132202
389,5,2.3997066020965576
392,5,2.182086229324341
394,5,3.017247200012207
396,5,2.3991832733154297
400,5,2.1354074478149414
405,5,2.406482219696045
406,5,3.6959285736083984
413,5,3.1996917724609375
415,5,4.166416645050049
419,5,3.9175941944122314
421,5,4.2985968589782715
426,5,4.090694904327393
429,5,2.667073965072632
432,5,3.275963306427002
443,5,2.084278106689453
446,5,4.267129421234131
453,5,4.1970415115356445
461,5,3.4720921516418457
477,5,3.0975112915039062
479,5,4.361621379852295
481,5,2.1986424922943115
488,5,3.247626543045044
499,5,2.9615836143493652
529,5,3.466888189315796
535,5,3.2276008129119873
554,5,3.593522071838379
567,5,4.442611217498779
575,5,2.2754061222076416
585,5,4.087649822235107
590,5,4.218194484710693
605,5,2.709092378616333
606,5,4.437217712402344
626,5,4.743188381195068
632,5,4.078603744506836
633,5,3.4132869243621826
634,5,3.6413509845733643
645,5,2.4818506240844727
654,5,4.016307830810547
679,5,3.4509060382843018
687,5,2.3872268199920654
730,5,3.5378353595733643
743,5,4.560876846313477
746,5,4.093620777130127
755,5,2.112212657928467
756,5,3.8626174926757812
806,5,3.595366954803467
810,5,2.189049005508423
819,5,3.9599833488464355
836,5,4.4347686767578125
903,5,4.461892127990723
917,5,3.255925178527832
919,5,3.736875534057617
920,5,3.833966016769409
922,5,3.550877571105957
928,5,4.038736820220947
931,5,3.493786096572876
943,5,4.1911702156066895
952,5,3.4164226055145264
960,5,3.8569958209991455
962,5,3.717327117919922
968,5,3.6685407161712646
971,5,3.4704155921936035
972,5,4.589680194854736
981,5,3.0136640071868896
982,5,3.8772974014282227
983,5,2.1682028770446777
985,5,3.5080084800720215
991,5,2.2927727699279785
999,5,3.623384714126587
OVERALL,500,238.08328247070312
MEAN,500,3.309817529916763
MEDIAN,500,3.458897113800049
