group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_DiT_noexpert,alignment_score,500,3.9866,0.2714,0.0985,0.8629,0.8631,0.8634
Sys_DiT_noexpert,artifact_score,500,3.7623,0.3043,0.1003,0.8603,0.863,0.8642
Human_DiT,alignment_score,500,3.8685,0.3148,0.1542,0.8121,0.812,0.8121
Human_DiT,artifact_score,500,3.0767,0.4244,0.154,0.7563,0.7569,0.757
