score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_DiT_ref_cls100_1,User_DiT_1,70,0.016,0.895495,0.0507,0.677107,0.0156,0.0157
alignment_score,Sys_DiT_ref_cls100_1,User_DiT_2,70,0.0046,0.970154,0.0137,0.910573,0.0044,0.0046
alignment_score,Sys_DiT_ref_cls100_1,User_DiT_3,70,-0.1122,0.355159,-0.1379,0.254788,-0.1074,-0.1117
alignment_score,User_DiT_1,User_DiT_2,500,0.7946,0.0,0.7987,0.0,0.7942,0.7943
alignment_score,User_DiT_1,User_DiT_3,500,0.8342,0.0,0.8129,0.0,0.8343,0.8341
alignment_score,User_DiT_2,User_DiT_3,500,0.8074,0.0,0.8114,0.0,0.8069,0.8068
authenticity_score,Sys_DiT_ref_cls100_1,User_DiT_1,70,0.0834,0.492639,0.0891,0.463172,0.0843,0.0834
authenticity_score,Sys_DiT_ref_cls100_1,User_DiT_2,70,0.1002,0.409113,0.1033,0.39459,0.1015,0.1002
authenticity_score,Sys_DiT_ref_cls100_1,User_DiT_3,70,0.0285,0.814971,0.0456,0.707979,0.0288,0.0284
authenticity_score,User_DiT_1,User_DiT_2,500,0.7576,0.0,0.7471,0.0,0.7561,0.7572
authenticity_score,User_DiT_1,User_DiT_3,500,0.7706,0.0,0.7599,0.0,0.7705,0.7701
authenticity_score,User_DiT_2,User_DiT_3,500,0.7429,0.0,0.7323,0.0,0.7418,0.7429
