score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_DiT_ref_randcls_100_1,3.6654,3.8685,-0.3574,-0.2067,38.57,61.43,-0.0334,-0.0252,-0.0324,-0.0334
authenticity_score,Sys_DiT_ref_randcls_100_1,2.6395,3.0767,-0.0141,-0.1583,47.14,52.86,0.0773,0.0913,0.0779,0.0769
