group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_IMF_ref_500,alignment_score,494,3.7717,0.3725,0.1403,0.8196,0.8197,0.8197
Sys_IMF_ref_500,authenticity_score,494,2.6877,0.4355,0.1703,0.7197,0.7198,0.72
Human_IMF_500,alignment_score,499,3.8669,0.3468,0.1479,0.7815,0.7812,0.7811
Human_IMF_500,authenticity_score,499,2.9345,0.4726,0.1868,0.6996,0.6995,0.6996
