score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_1,User_VAR_400_1,individual,400,4.38,215,185,0.8073
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_1,User_VAR_400_2,individual,400,4.29,226,174,0.8473
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_1,User_VAR_400_3,individual,400,4.38,209,191,0.847
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_2,User_VAR_400_1,individual,400,4.38,215,185,0.8294
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_2,User_VAR_400_2,individual,400,4.29,226,174,0.8432
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_2,User_VAR_400_3,individual,400,4.38,209,191,0.8308
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_3,User_VAR_400_1,individual,400,4.38,215,185,0.8391
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_3,User_VAR_400_2,individual,400,4.29,226,174,0.8254
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_3,User_VAR_400_3,individual,400,4.38,209,191,0.8327
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_1,User_VAR_400_1,individual,400,3.0,260,140,0.8372
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_1,User_VAR_400_2,individual,400,3.0,270,130,0.8262
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_1,User_VAR_400_3,individual,400,3.0,277,123,0.8495
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_2,User_VAR_400_1,individual,400,3.0,260,140,0.8594
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_2,User_VAR_400_2,individual,400,3.0,270,130,0.8484
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_2,User_VAR_400_3,individual,400,3.0,277,123,0.8482
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_3,User_VAR_400_1,individual,400,3.0,260,140,0.8487
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_3,User_VAR_400_2,individual,400,3.0,270,130,0.8607
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400_3,User_VAR_400_3,individual,400,3.0,277,123,0.8706
alignment_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400 (avg),Human_VAR_400 (avg),group_avg,400,4.38,202,198,0.8826
authenticity_score,Sys_VAR_ref_400,Human_VAR_400,Sys_VAR_ref_400 (avg),Human_VAR_400 (avg),group_avg,400,3.0,244,156,0.9067
