source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high
Sys_VAR_ref_400_1,0.7547,0.5651,0.4587,0.6229,0.1664,0.0166,0.7217,0.7877,0.1569,0.0157,0.534,0.5962,0.1827,0.0183,0.4225,0.4949,0.1588,0.0159,0.5914,0.6544
Sys_VAR_ref_400_2,0.7623,0.5747,0.4692,0.6305,0.1644,0.0164,0.7297,0.7949,0.1544,0.0154,0.5441,0.6053,0.1795,0.0179,0.4336,0.5048,0.1568,0.0157,0.5994,0.6616
Sys_VAR_ref_400_3,0.7574,0.5851,0.4734,0.6312,0.1769,0.0177,0.7223,0.7925,0.1611,0.0161,0.5531,0.6171,0.1884,0.0188,0.436,0.5108,0.1673,0.0167,0.598,0.6644
User_VAR_400_1,0.7841,0.6065,0.5069,0.6489,0.1997,0.02,0.7445,0.8237,0.1552,0.0155,0.5757,0.6373,0.1988,0.0199,0.4675,0.5463,0.184,0.0184,0.6124,0.6854
User_VAR_400_2,0.7709,0.6105,0.4995,0.6432,0.1958,0.0196,0.732,0.8098,0.1626,0.0163,0.5782,0.6428,0.2019,0.0202,0.4594,0.5396,0.1875,0.0187,0.606,0.6804
User_VAR_400_3,0.7775,0.6235,0.5131,0.6544,0.2034,0.0203,0.7371,0.8179,0.1651,0.0165,0.5907,0.6563,0.2106,0.0211,0.4713,0.5549,0.1903,0.019,0.6166,0.6922
Sys_VAR_ref_400_AVG_STATS,0.7581,0.575,0.4671,0.6282,0.1692,0.0169,0.7246,0.7917,0.1575,0.0157,0.5437,0.6062,0.1835,0.0183,0.4307,0.5035,0.161,0.0161,0.5963,0.6601
Sys_VAR_ref_400_AVG_PERCLASS,0.7581,0.575,0.4671,0.6282,0.164,0.0164,0.7256,0.7907,0.1497,0.015,0.5453,0.6047,0.1766,0.0177,0.4321,0.5021,0.1553,0.0155,0.5974,0.659
Human_VAR_400_AVG_STATS,0.7775,0.6135,0.5065,0.6488,0.1996,0.02,0.7379,0.8171,0.161,0.0161,0.5815,0.6455,0.2038,0.0204,0.4661,0.5469,0.1873,0.0187,0.6117,0.686
Human_VAR_400_AVG_PERCLASS,0.7775,0.6135,0.5065,0.6488,0.194,0.0194,0.739,0.816,0.1537,0.0154,0.583,0.644,0.1974,0.0197,0.4673,0.5457,0.1816,0.0182,0.6128,0.6849
