score_type,source,n,mean,median,std,min,max,pct_<=1,pct_1-2,pct_2-3,pct_3-4,pct_4-5,skewness,kurtosis
alignment_score,Human (3人平均),1000,3.987,4.44,1.2881,0.0,5.0,5.1,4.6,8.1,19.0,63.2,-1.4798,1.5101
alignment_score,Sys_JiTfdloss_ref (3次平均),1000,3.904,4.3067,1.1352,0.0,5.0,3.4,5.9,9.0,19.6,62.1,-1.5141,1.7586
artifact_score,Human (3人平均),1000,3.1637,3.3333,0.9921,0.3333,5.0,2.4,17.8,28.1,39.2,12.5,-0.1818,-0.7042
artifact_score,Sys_JiTfdloss_ref (3次平均),1000,2.9062,2.9867,1.0068,0.19,5.0,0.9,24.1,26.3,36.0,12.7,0.0116,-0.8693
