group,score_type,n_common_images,mean_score,std_across_runs (avg per-image std),cv_across_runs (avg per-image CV),icc_2_1 (absolute agreement),icc_3_1 (consistency),avg_pairwise_pearson_r
Sys_JiTfdloss_ref,alignment_score,500,3.9437,0.3308,0.1304,0.8251,0.825,0.8251
Sys_JiTfdloss_ref,artifact_score,500,2.9453,0.4191,0.1475,0.7388,0.7386,0.7391
Human_JiTfdloss,alignment_score,484,4.0377,0.2607,0.098,0.814,0.8141,0.8142
Human_JiTfdloss,artifact_score,484,3.1956,0.3866,0.1422,0.7459,0.7459,0.746
