source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_JiTfdloss_ref_1,962,0.96,0.64,0.61,0.76
Sys_JiTfdloss_ref_1,968,0.88,0.86,0.76,0.87
Sys_JiTfdloss_ref_1,971,0.91,0.73,0.66,0.8
Sys_JiTfdloss_ref_1,972,0.92,0.74,0.69,0.82
Sys_JiTfdloss_ref_1,981,0.76,0.39,0.3,0.51
Sys_JiTfdloss_ref_1,982,0.58,0.46,0.23,0.4
Sys_JiTfdloss_ref_1,983,0.76,0.45,0.36,0.56
Sys_JiTfdloss_ref_1,985,0.77,0.8,0.63,0.78
Sys_JiTfdloss_ref_1,991,0.85,0.76,0.65,0.8
Sys_JiTfdloss_ref_1,999,0.62,0.5,0.38,0.54
Sys_JiTfdloss_ref_2,4,0.95,0.67,0.64,0.78
Sys_JiTfdloss_ref_2,7,0.85,0.52,0.46,0.62
Sys_JiTfdloss_ref_2,10,0.88,0.73,0.66,0.78
Sys_JiTfdloss_ref_2,25,0.92,0.69,0.63,0.78
Sys_JiTfdloss_ref_2,35,0.78,0.71,0.56,0.74
Sys_JiTfdloss_ref_2,39,0.9,0.78,0.73,0.83
Sys_JiTfdloss_ref_2,49,0.79,0.7,0.6,0.74
Sys_JiTfdloss_ref_2,51,0.67,0.68,0.46,0.66
Sys_JiTfdloss_ref_2,52,0.63,0.71,0.45,0.66
Sys_JiTfdloss_ref_2,64,0.78,0.74,0.61,0.75
Sys_JiTfdloss_ref_2,80,0.86,0.53,0.47,0.64
Sys_JiTfdloss_ref_2,97,0.96,0.53,0.52,0.64
Sys_JiTfdloss_ref_2,106,0.91,0.4,0.37,0.55
Sys_JiTfdloss_ref_2,116,0.97,0.93,0.91,0.95
Sys_JiTfdloss_ref_2,118,0.78,0.47,0.36,0.58
Sys_JiTfdloss_ref_2,129,0.68,0.43,0.32,0.48
Sys_JiTfdloss_ref_2,144,0.74,0.37,0.29,0.48
Sys_JiTfdloss_ref_2,147,0.96,0.79,0.76,0.87
Sys_JiTfdloss_ref_2,150,0.82,0.54,0.46,0.63
Sys_JiTfdloss_ref_2,156,0.9,0.47,0.43,0.6
Sys_JiTfdloss_ref_2,159,0.7,0.36,0.25,0.47
Sys_JiTfdloss_ref_2,281,0.93,0.38,0.36,0.53
Sys_JiTfdloss_ref_2,300,0.91,0.82,0.78,0.86
Sys_JiTfdloss_ref_2,322,0.9,0.82,0.75,0.85
Sys_JiTfdloss_ref_2,330,0.75,0.56,0.45,0.63
Sys_JiTfdloss_ref_2,333,0.89,0.43,0.39,0.57
Sys_JiTfdloss_ref_2,339,0.72,0.45,0.37,0.55
Sys_JiTfdloss_ref_2,347,0.94,0.63,0.59,0.75
Sys_JiTfdloss_ref_2,356,0.86,0.59,0.53,0.7
Sys_JiTfdloss_ref_2,365,0.88,0.3,0.27,0.45
Sys_JiTfdloss_ref_2,370,0.84,0.69,0.55,0.69
Sys_JiTfdloss_ref_2,389,0.33,0.49,0.18,0.36
Sys_JiTfdloss_ref_2,392,0.84,0.7,0.58,0.74
Sys_JiTfdloss_ref_2,394,0.81,0.63,0.53,0.71
Sys_JiTfdloss_ref_2,396,0.94,0.8,0.76,0.86
Sys_JiTfdloss_ref_2,400,0.82,0.28,0.23,0.41
Sys_JiTfdloss_ref_2,405,0.69,0.66,0.5,0.67
Sys_JiTfdloss_ref_2,406,0.81,0.63,0.52,0.67
Sys_JiTfdloss_ref_2,413,0.76,0.46,0.4,0.54
Sys_JiTfdloss_ref_2,415,0.75,0.56,0.44,0.64
Sys_JiTfdloss_ref_2,419,0.93,0.67,0.63,0.77
Sys_JiTfdloss_ref_2,421,0.81,0.65,0.55,0.72
Sys_JiTfdloss_ref_2,426,0.54,0.37,0.2,0.43
Sys_JiTfdloss_ref_2,429,0.96,0.78,0.75,0.86
Sys_JiTfdloss_ref_2,432,0.84,0.55,0.48,0.65
Sys_JiTfdloss_ref_2,443,0.95,0.81,0.77,0.87
Sys_JiTfdloss_ref_2,446,0.89,0.65,0.59,0.75
Sys_JiTfdloss_ref_2,453,0.77,0.55,0.44,0.61
Sys_JiTfdloss_ref_2,461,0.94,0.8,0.76,0.87
Sys_JiTfdloss_ref_2,477,0.7,0.53,0.38,0.58
Sys_JiTfdloss_ref_2,479,0.84,0.7,0.6,0.76
Sys_JiTfdloss_ref_2,481,0.7,0.62,0.41,0.55
Sys_JiTfdloss_ref_2,488,0.94,0.9,0.85,0.92
Sys_JiTfdloss_ref_2,499,0.82,0.52,0.45,0.62
Sys_JiTfdloss_ref_2,529,0.67,0.35,0.24,0.45
Sys_JiTfdloss_ref_2,535,0.82,0.62,0.51,0.7
Sys_JiTfdloss_ref_2,554,0.73,0.4,0.3,0.48
Sys_JiTfdloss_ref_2,567,0.95,0.72,0.69,0.82
Sys_JiTfdloss_ref_2,575,0.92,0.7,0.64,0.78
Sys_JiTfdloss_ref_2,585,0.2,0.38,0.11,0.19
Sys_JiTfdloss_ref_2,590,0.73,0.47,0.36,0.58
Sys_JiTfdloss_ref_2,605,0.74,0.54,0.42,0.62
Sys_JiTfdloss_ref_2,606,0.72,0.65,0.48,0.68
Sys_JiTfdloss_ref_2,626,0.55,0.38,0.26,0.43
Sys_JiTfdloss_ref_2,632,0.87,0.55,0.49,0.66
Sys_JiTfdloss_ref_2,633,0.69,0.58,0.43,0.62
Sys_JiTfdloss_ref_2,634,0.58,0.59,0.34,0.55
Sys_JiTfdloss_ref_2,645,0.67,0.58,0.4,0.61
Sys_JiTfdloss_ref_2,654,0.92,0.53,0.5,0.67
Sys_JiTfdloss_ref_2,679,0.83,0.61,0.51,0.7
Sys_JiTfdloss_ref_2,687,0.97,0.79,0.77,0.87
Sys_JiTfdloss_ref_2,730,0.86,0.51,0.45,0.62
Sys_JiTfdloss_ref_2,743,0.78,0.62,0.49,0.67
Sys_JiTfdloss_ref_2,746,0.5,0.58,0.3,0.48
Sys_JiTfdloss_ref_2,755,0.97,0.82,0.8,0.89
Sys_JiTfdloss_ref_2,756,0.56,0.55,0.32,0.53
Sys_JiTfdloss_ref_2,806,0.84,0.55,0.46,0.65
Sys_JiTfdloss_ref_2,810,0.66,0.57,0.45,0.57
Sys_JiTfdloss_ref_2,819,0.88,0.43,0.38,0.56
Sys_JiTfdloss_ref_2,836,0.23,0.46,0.13,0.2
Sys_JiTfdloss_ref_2,903,0.73,0.34,0.24,0.45
Sys_JiTfdloss_ref_2,917,0.55,0.44,0.26,0.49
Sys_JiTfdloss_ref_2,919,0.39,0.25,0.1,0.29
Sys_JiTfdloss_ref_2,920,0.7,0.58,0.44,0.6
