score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_JiTfdloss_ref,3.904,3.987,-0.083,-0.15,30.4,68.3,0.7816,0.7386,0.7738,0.7754
artifact_score,Sys_JiTfdloss_ref,2.9062,3.1637,-0.2575,-0.21,30.2,68.9,0.8042,0.7979,0.7784,0.8041
