class_id,total_images,num_batches,batch_0_vs,batch_1_vs,batch_2_vs,batch_3_vs,batch_4_vs,batch_5_vs,batch_6_vs,batch_7_vs,batch_8_vs,batch_9_vs,batch_10_vs,batch_11_vs,batch_12_vs,batch_13_vs,batch_14_vs,batch_15_vs,batch_16_vs,batch_17_vs,batch_18_vs,batch_19_vs,batch_20_vs,batch_21_vs,batch_22_vs,batch_23_vs,batch_24_vs,batch_25_vs,mean_vendi_score,std_vendi_score,ci95_low,ci95_high
4,1300,26,10.386857986450195,11.31582260131836,11.514806747436523,11.234786987304688,11.3272705078125,12.199593544006348,12.611953735351562,11.156184196472168,11.153356552124023,11.65456485748291,9.838593482971191,13.04277229309082,14.678144454956055,12.921760559082031,11.668044090270996,12.229101181030273,13.646560668945312,12.879030227661133,10.65061092376709,12.784019470214844,12.198850631713867,12.865912437438965,11.716012954711914,12.713634490966797,10.009093284606934,11.625730514526367,11.923964206988995,1.1225382217169126,11.470561206980443,12.377367206997546
7,1300,26,5.635321140289307,4.896378993988037,5.3275604248046875,5.063888072967529,4.351451873779297,4.590878009796143,5.627516746520996,4.862699031829834,4.661789894104004,5.397095203399658,6.038844585418701,4.969242572784424,4.445365905761719,5.311033248901367,4.443784713745117,5.989147663116455,4.842851161956787,5.724268436431885,5.874166488647461,4.848301887512207,5.196354866027832,5.364128589630127,5.383737564086914,4.641564846038818,3.898542881011963,6.4621262550354,5.148001579137949,0.6045016427966136,4.903838081582494,5.392165076693404
10,1300,26,5.997074604034424,5.842044353485107,5.282690525054932,6.990363597869873,8.1331787109375,5.045051097869873,5.903816223144531,7.035262584686279,6.123425483703613,6.222949028015137,5.0674357414245605,6.297037124633789,5.118607044219971,6.02247428894043,5.446505069732666,6.969797611236572,6.26948881149292,5.097987174987793,5.604992866516113,6.284047603607178,5.639552116394043,5.611591815948486,5.953276634216309,6.618032455444336,6.811534881591797,5.722682476043701,6.042726920201228,0.7372029448064475,5.74496420680413,6.3404896335983265
25,1300,26,5.064418792724609,4.4874138832092285,4.826765060424805,4.840245246887207,4.610780239105225,4.497053623199463,5.250926494598389,4.758520126342773,4.810394287109375,4.738885402679443,4.854544162750244,4.946324348449707,5.198824882507324,5.072322845458984,4.619908332824707,4.632267951965332,4.846694469451904,5.00972843170166,4.810551166534424,4.600891590118408,4.900932788848877,5.356783390045166,5.274216175079346,5.254459381103516,5.677999019622803,4.1864423751831055,4.889549787227924,0.32255136878153806,4.759268469912303,5.019831104543545
35,1300,26,10.772137641906738,12.161352157592773,13.281769752502441,11.897685050964355,14.040336608886719,13.029695510864258,13.453340530395508,12.673958778381348,12.62785816192627,14.016419410705566,12.915504455566406,13.951130867004395,13.81521987915039,12.666146278381348,13.310808181762695,12.363213539123535,11.235995292663574,12.888450622558594,13.970311164855957,13.632575988769531,15.701833724975586,13.429144859313965,12.886300086975098,13.217854499816895,14.325624465942383,14.128196716308594,13.16895631643442,1.020115694346788,12.756922670519705,13.580989962349134
39,1300,26,7.4097371101379395,7.249599933624268,5.560940265655518,6.282198429107666,7.099370002746582,6.503833293914795,6.453457832336426,6.4269118309021,6.2737603187561035,8.184975624084473,5.96043586730957,7.14793586730957,7.905160903930664,6.292019367218018,5.761687755584717,6.104964733123779,6.8677659034729,5.757068157196045,6.576691150665283,6.175121307373047,8.023954391479492,5.999731540679932,5.9105610847473145,6.426309108734131,7.108163356781006,5.098114967346191,6.560018080931443,0.7738583134192853,6.2474499437421285,6.872586218120758
49,1300,26,6.527095794677734,6.59251070022583,6.027611255645752,8.642420768737793,7.67431116104126,6.121420383453369,6.513756275177002,7.277960777282715,6.384098529815674,7.269180774688721,5.650262355804443,7.746359825134277,7.849501609802246,6.913600444793701,7.008277893066406,6.864620685577393,7.135427474975586,6.297621250152588,6.99946928024292,7.025385856628418,7.216080665588379,7.532411098480225,7.098274230957031,7.547221660614014,6.823760032653809,6.895449161529541,6.98592653641334,0.643106242582638,6.726170303556327,7.245682769270352
51,1266,25,7.41627311706543,7.507933139801025,7.16860294342041,7.176477909088135,7.708029747009277,6.327378273010254,7.459035873413086,7.558974742889404,7.215392112731934,6.793255805969238,8.12542724609375,8.194226264953613,7.3687028884887695,6.388417720794678,6.691137313842773,7.896597862243652,6.322809219360352,7.090906620025635,8.088720321655273,6.125303268432617,6.643143653869629,7.86666202545166,6.360551357269287,7.478553771972656,6.874800205230713,,7.19389253616333,0.6180727620448905,6.938764639250148,7.4490204330765115
52,1300,26,15.796027183532715,14.652263641357422,14.727605819702148,17.670686721801758,17.117431640625,20.161035537719727,17.369997024536133,16.0387020111084,16.947710037231445,19.306602478027344,16.767963409423828,17.74997901916504,15.668203353881836,18.87873077392578,17.042387008666992,16.319622039794922,17.224613189697266,15.51616382598877,18.239110946655273,18.51352882385254,16.76894760131836,16.773645401000977,14.33924674987793,15.303681373596191,15.287299156188965,17.00284767150879,16.814770478468674,1.4632952786534912,16.22373272456032,17.405808232377026
64,1300,26,10.39033317565918,9.799715995788574,9.853254318237305,8.750088691711426,9.897173881530762,9.642109870910645,10.44550609588623,9.559097290039062,9.480284690856934,9.898428916931152,11.475442886352539,8.032764434814453,9.7758150100708,9.347606658935547,12.148369789123535,9.903566360473633,10.376773834228516,10.011730194091797,9.983353614807129,8.849783897399902,9.266202926635742,10.732428550720215,10.600878715515137,9.055227279663086,10.394012451171875,9.348630905151367,9.885330016796406,0.8430286106574769,9.544823391925744,10.225836641667067
80,1300,26,5.776004791259766,7.681248188018799,5.81893253326416,7.392333507537842,5.858695030212402,6.471832275390625,5.26755952835083,4.1613383293151855,5.327590465545654,8.85194206237793,5.772970199584961,6.669406414031982,6.319103240966797,5.373868942260742,6.662729263305664,5.703838348388672,7.44038200378418,7.30659294128418,6.739101886749268,6.81168270111084,6.768014907836914,5.763603687286377,6.938940048217773,7.405433177947998,6.720875263214111,4.422041416168213,6.362540813592764,1.042993377360623,5.941266671531867,6.783814955653661
97,1300,26,8.721121788024902,7.523956775665283,9.130318641662598,9.933365821838379,9.368708610534668,9.789273262023926,9.2843017578125,10.02375316619873,8.159089088439941,9.927513122558594,10.050830841064453,11.237688064575195,10.302722930908203,9.998594284057617,9.017443656921387,10.322149276733398,7.772902965545654,9.217494010925293,9.671343803405762,9.798687934875488,8.945691108703613,7.611554145812988,10.061782836914062,9.24527645111084,10.297808647155762,8.023198127746582,9.362945043123686,0.9407961780547216,8.982949243181864,9.742940843065508
106,1300,26,11.922056198120117,13.485447883605957,10.324688911437988,12.262277603149414,9.74268913269043,12.077154159545898,12.851645469665527,11.318013191223145,13.04320240020752,13.241670608520508,10.781235694885254,11.995712280273438,11.935881614685059,11.517692565917969,11.098321914672852,11.887605667114258,11.018016815185547,11.170159339904785,10.717385292053223,12.33460807800293,12.906903266906738,15.206002235412598,13.33946704864502,11.863645553588867,10.340624809265137,9.90188217163086,11.857076534858116,1.2570744663522526,11.349333169642,12.364819900074233
116,1300,26,7.588878631591797,6.239225387573242,5.587954044342041,6.7599310874938965,6.055530548095703,6.074339866638184,8.984058380126953,6.518874168395996,7.712371349334717,6.095518112182617,6.461190223693848,5.7921552658081055,7.313924789428711,7.418368339538574,6.036879062652588,6.566694736480713,6.741744518280029,5.626813888549805,6.470058441162109,7.417593479156494,5.732797145843506,5.686647891998291,6.824197292327881,5.016085624694824,6.881750583648682,6.408109664916992,6.538911250921396,0.8461518736107283,6.197143112843056,6.880679388999736
118,1300,26,10.334417343139648,10.034257888793945,10.617008209228516,10.922173500061035,10.821561813354492,12.738313674926758,10.503762245178223,9.184225082397461,12.128076553344727,8.429356575012207,10.57501220703125,10.500227928161621,10.785988807678223,9.192117691040039,9.074234962463379,11.04903793334961,9.656159400939941,12.19025993347168,8.225961685180664,12.407536506652832,9.986034393310547,8.372933387756348,9.692154884338379,7.924444675445557,9.646736145019531,10.437472343444824,10.20882560656621,1.2858100612315408,9.689475683396662,10.728175529735758
129,1300,26,5.881089210510254,6.669267654418945,6.976719379425049,5.271699905395508,5.664580821990967,5.798019886016846,7.049559116363525,6.725191116333008,5.589508533477783,5.14107084274292,6.628945350646973,5.64107608795166,6.800752639770508,6.977196216583252,6.632059097290039,5.453670501708984,5.400883674621582,5.574406147003174,6.635539531707764,6.006958961486816,5.918580532073975,6.287662029266357,5.818284511566162,5.744983196258545,5.461550712585449,6.398308753967285,6.082598631198589,0.5951351429570558,5.842218344802163,6.322978917595016
144,1300,26,6.450430393218994,6.601014137268066,5.688309669494629,7.552763938903809,5.985654830932617,6.715521812438965,6.8799519538879395,6.079052925109863,5.4382500648498535,7.223257541656494,6.254384517669678,6.364128589630127,6.25342321395874,5.770477294921875,6.161324501037598,7.384218692779541,6.780345916748047,5.466805458068848,5.919922828674316,5.868673324584961,7.2453107833862305,7.052658557891846,6.242013454437256,6.1154608726501465,6.485372066497803,7.247600555419922,6.431781842158391,0.6008574864329033,6.189090251212298,6.674473433104484
