class_id,batch_idx,num_images,vendi_score
4,0,50,10.386857986450195
4,1,50,11.31582260131836
4,2,50,11.514806747436523
4,3,50,11.234786987304688
4,4,50,11.3272705078125
4,5,50,12.199593544006348
4,6,50,12.611953735351562
4,7,50,11.156184196472168
4,8,50,11.153356552124023
4,9,50,11.65456485748291
4,10,50,9.838593482971191
4,11,50,13.04277229309082
4,12,50,14.678144454956055
4,13,50,12.921760559082031
4,14,50,11.668044090270996
4,15,50,12.229101181030273
4,16,50,13.646560668945312
4,17,50,12.879030227661133
4,18,50,10.65061092376709
4,19,50,12.784019470214844
4,20,50,12.198850631713867
4,21,50,12.865912437438965
4,22,50,11.716012954711914
4,23,50,12.713634490966797
4,24,50,10.009093284606934
4,25,50,11.625730514526367
7,0,50,5.635321140289307
7,1,50,4.896378993988037
7,2,50,5.3275604248046875
7,3,50,5.063888072967529
7,4,50,4.351451873779297
7,5,50,4.590878009796143
7,6,50,5.627516746520996
7,7,50,4.862699031829834
7,8,50,4.661789894104004
7,9,50,5.397095203399658
7,10,50,6.038844585418701
7,11,50,4.969242572784424
7,12,50,4.445365905761719
7,13,50,5.311033248901367
7,14,50,4.443784713745117
7,15,50,5.989147663116455
7,16,50,4.842851161956787
7,17,50,5.724268436431885
7,18,50,5.874166488647461
7,19,50,4.848301887512207
7,20,50,5.196354866027832
7,21,50,5.364128589630127
7,22,50,5.383737564086914
7,23,50,4.641564846038818
7,24,50,3.898542881011963
7,25,50,6.4621262550354
10,0,50,5.997074604034424
10,1,50,5.842044353485107
10,2,50,5.282690525054932
10,3,50,6.990363597869873
10,4,50,8.1331787109375
10,5,50,5.045051097869873
10,6,50,5.903816223144531
10,7,50,7.035262584686279
10,8,50,6.123425483703613
10,9,50,6.222949028015137
10,10,50,5.0674357414245605
10,11,50,6.297037124633789
10,12,50,5.118607044219971
10,13,50,6.02247428894043
10,14,50,5.446505069732666
10,15,50,6.969797611236572
10,16,50,6.26948881149292
10,17,50,5.097987174987793
10,18,50,5.604992866516113
10,19,50,6.284047603607178
10,20,50,5.639552116394043
10,21,50,5.611591815948486
10,22,50,5.953276634216309
10,23,50,6.618032455444336
10,24,50,6.811534881591797
10,25,50,5.722682476043701
25,0,50,5.064418792724609
25,1,50,4.4874138832092285
25,2,50,4.826765060424805
25,3,50,4.840245246887207
25,4,50,4.610780239105225
25,5,50,4.497053623199463
25,6,50,5.250926494598389
25,7,50,4.758520126342773
25,8,50,4.810394287109375
25,9,50,4.738885402679443
25,10,50,4.854544162750244
25,11,50,4.946324348449707
25,12,50,5.198824882507324
25,13,50,5.072322845458984
25,14,50,4.619908332824707
25,15,50,4.632267951965332
25,16,50,4.846694469451904
25,17,50,5.00972843170166
25,18,50,4.810551166534424
25,19,50,4.600891590118408
25,20,50,4.900932788848877
25,21,50,5.356783390045166
25,22,50,5.274216175079346
25,23,50,5.254459381103516
25,24,50,5.677999019622803
25,25,50,4.1864423751831055
35,0,50,10.772137641906738
35,1,50,12.161352157592773
35,2,50,13.281769752502441
35,3,50,11.897685050964355
35,4,50,14.040336608886719
35,5,50,13.029695510864258
35,6,50,13.453340530395508
35,7,50,12.673958778381348
35,8,50,12.62785816192627
35,9,50,14.016419410705566
35,10,50,12.915504455566406
35,11,50,13.951130867004395
35,12,50,13.81521987915039
35,13,50,12.666146278381348
35,14,50,13.310808181762695
35,15,50,12.363213539123535
35,16,50,11.235995292663574
35,17,50,12.888450622558594
35,18,50,13.970311164855957
35,19,50,13.632575988769531
35,20,50,15.701833724975586
35,21,50,13.429144859313965
35,22,50,12.886300086975098
35,23,50,13.217854499816895
35,24,50,14.325624465942383
35,25,50,14.128196716308594
39,0,50,7.4097371101379395
39,1,50,7.249599933624268
39,2,50,5.560940265655518
39,3,50,6.282198429107666
39,4,50,7.099370002746582
39,5,50,6.503833293914795
39,6,50,6.453457832336426
39,7,50,6.4269118309021
39,8,50,6.2737603187561035
39,9,50,8.184975624084473
39,10,50,5.96043586730957
39,11,50,7.14793586730957
39,12,50,7.905160903930664
39,13,50,6.292019367218018
39,14,50,5.761687755584717
39,15,50,6.104964733123779
39,16,50,6.8677659034729
39,17,50,5.757068157196045
39,18,50,6.576691150665283
39,19,50,6.175121307373047
39,20,50,8.023954391479492
39,21,50,5.999731540679932
39,22,50,5.9105610847473145
39,23,50,6.426309108734131
39,24,50,7.108163356781006
39,25,50,5.098114967346191
49,0,50,6.527095794677734
49,1,50,6.59251070022583
49,2,50,6.027611255645752
49,3,50,8.642420768737793
49,4,50,7.67431116104126
49,5,50,6.121420383453369
49,6,50,6.513756275177002
49,7,50,7.277960777282715
49,8,50,6.384098529815674
49,9,50,7.269180774688721
49,10,50,5.650262355804443
49,11,50,7.746359825134277
49,12,50,7.849501609802246
49,13,50,6.913600444793701
49,14,50,7.008277893066406
49,15,50,6.864620685577393
49,16,50,7.135427474975586
49,17,50,6.297621250152588
49,18,50,6.99946928024292
49,19,50,7.025385856628418
49,20,50,7.216080665588379
49,21,50,7.532411098480225
49,22,50,7.098274230957031
49,23,50,7.547221660614014
49,24,50,6.823760032653809
49,25,50,6.895449161529541
51,0,50,7.41627311706543
51,1,50,7.507933139801025
51,2,50,7.16860294342041
51,3,50,7.176477909088135
51,4,50,7.708029747009277
51,5,50,6.327378273010254
