class_id,total_images,num_batches,mean_vendi_score,std_vendi_score,se_vendi_score,ci95_low,ci95_high,min_vendi_score,max_vendi_score
4,1300,26,11.923964206988995,1.1225382217169126,0.22014785758801084,11.470561206980443,12.377367206997546,9.838593482971191,14.678144454956055
7,1300,26,5.148001579137949,0.6045016427966136,0.11855252586995492,4.903838081582494,5.392165076693404,3.898542881011963,6.4621262550354
10,1300,26,6.042726920201228,0.7372029448064475,0.1445773923479285,5.74496420680413,6.3404896335983265,5.045051097869873,8.1331787109375
25,1300,26,4.889549787227924,0.32255136878153806,0.06325752782896636,4.759268469912303,5.019831104543545,4.1864423751831055,5.677999019622803
35,1300,26,13.16895631643442,1.020115694346788,0.2000611473690971,12.756922670519705,13.580989962349134,10.772137641906738,15.701833724975586
39,1300,26,6.560018080931443,0.7738583134192853,0.15176610157234374,6.2474499437421285,6.872586218120758,5.098114967346191,8.184975624084473
49,1300,26,6.98592653641334,0.643106242582638,0.12612351077854642,6.726170303556327,7.245682769270352,5.650262355804443,8.642420768737793
51,1266,25,7.19389253616333,0.6180727620448905,0.12361455240897809,6.938764639250148,7.4490204330765115,6.125303268432617,8.194226264953613
52,1300,26,16.814770478468674,1.4632952786534912,0.2869758146154748,16.22373272456032,17.405808232377026,14.33924674987793,20.161035537719727
64,1300,26,9.885330016796406,0.8430286106574769,0.16533151293305728,9.544823391925744,10.225836641667067,8.032764434814453,12.148369789123535
80,1300,26,6.362540813592764,1.042993377360623,0.20454783014268693,5.941266671531867,6.783814955653661,4.1613383293151855,8.85194206237793
97,1300,26,9.362945043123686,0.9407961780547216,0.18450531039286683,8.982949243181864,9.742940843065508,7.523956775665283,11.237688064575195
106,1300,26,11.857076534858116,1.2570744663522526,0.24653258592189897,11.349333169642,12.364819900074233,9.74268913269043,15.206002235412598
116,1300,26,6.538911250921396,0.8461518736107283,0.16594403519246922,6.197143112843056,6.880679388999736,5.016085624694824,8.984058380126953
118,1300,26,10.20882560656621,1.2858100612315408,0.25216809973052157,9.689475683396662,10.728175529735758,7.924444675445557,12.738313674926758
129,1300,26,6.082598631198589,0.5951351429570558,0.11671560412164844,5.842218344802163,6.322978917595016,5.14107084274292,7.049559116363525
144,1300,26,6.431781842158391,0.6008574864329033,0.11783784800806485,6.189090251212298,6.674473433104484,5.4382500648498535,7.552763938903809
147,1150,23,10.905256395754607,0.7591497615484148,0.15829366771083575,10.576975421469356,11.233537370039858,9.577762603759766,12.862499237060547
150,1300,26,10.756614611699032,1.184868126489377,0.2323717576155176,10.27803601831883,11.235193205079234,8.49956226348877,13.523704528808594
156,1300,26,7.825266544635479,0.5660215460614453,0.11100595801851026,7.596645494511043,8.053887594759916,6.893304824829102,8.906876564025879
159,1300,26,15.375663500565748,0.9722233779535815,0.19066869137524636,14.982973979875409,15.768353021256088,13.768798828125,17.16179847717285
281,1300,26,15.170564284691444,1.1152898945164431,0.21872634367123778,14.720088947397763,15.621039621985126,13.185497283935547,17.745670318603516
300,1300,26,3.910724612382742,0.49010810590690124,0.09611810753035727,3.7127656643062843,4.1086835604592,2.948303699493408,4.6721391677856445
322,1300,26,14.683621223156269,1.6986813008705244,0.33313881155823005,13.997508997333679,15.36973344897886,11.543495178222656,18.074689865112305
330,1300,26,6.0976488040043755,0.70819630359498,0.1388887219801955,5.811602126543528,6.383695481465223,4.709196090698242,7.725949764251709
333,1300,26,7.586261382469764,0.43469592378263183,0.08525088453257237,7.410683899118611,7.761838865820916,6.251813888549805,8.33668041229248
339,1300,26,12.838924994835487,1.076724978187688,0.2111631413289149,12.404026364348095,13.27382362532288,10.440765380859375,14.74002456665039
347,1300,26,6.512342416323149,0.5389122830561249,0.10568939413146229,6.294671034492264,6.730013798154033,5.3680925369262695,7.404709815979004
356,1300,26,14.097490127270039,1.4638909280302572,0.28709263106914357,13.506211785371757,14.68876846916832,11.215787887573242,17.163612365722656
365,1300,26,5.291138905745286,0.46045475443545764,0.09030260684588357,5.105157205532065,5.477120605958507,4.133426666259766,6.0672478675842285
370,1300,26,9.24846628996042,0.8695514103854795,0.17053306190875722,8.89724687444027,9.59968570548057,7.521372318267822,11.025793075561523
389,1300,26,11.281772650205172,1.4304285150218445,0.28053011195753597,10.704010069420427,11.859535230989916,8.505779266357422,14.853165626525879
392,969,19,5.940044854816637,0.7261015040352528,0.16657910941276616,5.590075132407634,6.290014577225641,4.457186222076416,7.006570339202881
394,1300,26,10.924235564011793,1.1317546198463073,0.2219553419690425,10.467109980237009,11.381361147786578,8.259065628051758,12.696913719177246
396,1300,26,3.688651653436514,0.38266112574332084,0.07504602104840674,3.534091479856585,3.843211827016443,3.0889947414398193,4.667233467102051
400,1300,26,6.369205823311439,0.7836402360048716,0.15368449442404986,6.052686682084708,6.685724964538169,4.845676422119141,7.843146800994873
405,1300,26,7.835142319019024,0.9314569813343805,0.18267374322677835,7.4589187022677175,8.211365935770331,5.869379043579102,9.756689071655273
406,1300,26,18.53645636485173,1.445526594244186,0.2834910889026317,17.952595537894748,19.120317191808713,14.9872465133667,21.440719604492188
413,1300,26,10.847993043752817,0.9735430619862102,0.19092750270732908,10.454770491146164,11.24121559635947,9.134313583374023,13.133956909179688
415,1300,26,22.88477721581092,2.3992002211301453,0.4705218747907206,21.91571927476567,23.85383515685617,17.389144897460938,26.631471633911133
419,1300,26,24.86846058185284,2.2963869649816306,0.4503585363539018,23.940929813670433,25.795991350035248,20.089191436767578,29.521408081054688
421,1300,26,21.774703832773064,2.3707072472550315,0.46493394287574,20.817154452936876,22.73225321260925,17.559520721435547,26.231733322143555
426,1199,23,13.772093607031781,1.1245295204893735,0.23448061405472498,13.28581057659809,14.258376637465473,11.095138549804688,15.883373260498047
429,1300,26,8.635739124738253,1.0603799774034994,0.20795762294628925,8.207442382941435,9.06403586653507,6.482100963592529,10.795696258544922
432,1300,26,10.169544036571796,0.8749936192896174,0.17160036688565136,9.816126465304187,10.522961607839406,8.592480659484863,11.736197471618652
443,1300,26,8.142986811124361,1.138438498350192,0.22326615838895758,7.683161550397179,8.602812071851544,6.51837158203125,10.500739097595215
