class_id,num_images,vendi_score
4,5,4.089343547821045
7,5,2.301839590072632
10,5,3.7778186798095703
25,5,2.424112319946289
35,5,3.358513116836548
39,5,2.8547492027282715
49,5,2.7599544525146484
51,5,2.2735540866851807
52,5,3.621363878250122
64,5,3.12956166267395
80,5,3.020923137664795
97,5,3.1962361335754395
106,5,3.3247525691986084
116,5,1.9119235277175903
118,5,2.780651092529297
129,5,2.239151954650879
144,5,2.5960285663604736
147,5,3.0728049278259277
150,5,3.3548049926757812
156,5,2.387655019760132
159,5,3.3518331050872803
281,5,3.9759976863861084
300,5,2.5758602619171143
322,5,3.0736465454101562
330,5,3.6367483139038086
333,5,2.696319818496704
339,5,3.414200782775879
347,5,3.041761875152588
356,5,3.1954874992370605
365,5,1.8762532472610474
370,5,2.9479734897613525
389,5,3.1494052410125732
392,5,2.9215526580810547
394,5,3.468411922454834
396,5,2.198906898498535
400,5,2.5996193885803223
405,5,2.32657790184021
406,5,3.4954516887664795
413,5,3.530561685562134
415,5,2.5525624752044678
419,5,4.478642463684082
421,5,4.628840446472168
426,5,3.761995315551758
429,5,2.918109655380249
432,5,4.421772003173828
443,5,3.5286219120025635
446,5,4.377452373504639
453,5,3.813014030456543
461,5,3.0225577354431152
477,5,3.109858512878418
479,5,3.8617708683013916
481,5,2.590207576751709
488,5,2.394493341445923
499,5,4.590446472167969
529,5,3.3767974376678467
535,5,3.0416786670684814
554,5,3.6768481731414795
567,5,4.5206146240234375
575,5,2.705305337905884
585,5,4.278361797332764
590,5,4.190505027770996
605,5,4.001884460449219
606,5,4.349246978759766
626,5,4.430197238922119
632,5,4.127519607543945
633,5,4.122832298278809
634,5,3.218022346496582
645,5,2.7882542610168457
654,5,4.396711826324463
679,5,3.299818754196167
687,5,2.8618977069854736
730,5,3.9533326625823975
743,5,4.412908554077148
746,5,3.4887964725494385
755,5,2.1331777572631836
756,5,3.9843499660491943
806,5,2.983309030532837
810,5,2.6170361042022705
819,5,3.63539981842041
836,5,3.902698278427124
903,5,3.43142032623291
917,5,3.838242530822754
919,5,4.0909271240234375
920,5,3.369323253631592
922,5,3.9824347496032715
928,5,4.27543830871582
931,5,3.321044921875
943,5,3.6606974601745605
952,5,3.799914836883545
960,5,3.7584316730499268
962,5,3.9957385063171387
968,5,4.409558296203613
971,5,2.7642698287963867
972,5,4.472410202026367
981,5,3.0034732818603516
982,5,4.113022804260254
983,5,2.425384998321533
985,5,4.206239223480225
991,5,2.2970170974731445
999,5,4.260132312774658
OVERALL,500,230.46075439453125
MEAN,500,3.3797528457641604
MEDIAN,500,3.36391818523407
