group,alignment_threshold,authenticity_threshold,probability
Sys_VAR_ref_200,0.0,0.0,1.0
Sys_VAR_ref_200,0.0,0.02,1.0
Sys_VAR_ref_200,0.0,0.04,1.0
Sys_VAR_ref_200,0.0,0.06,1.0
Sys_VAR_ref_200,0.0,0.08,1.0
Sys_VAR_ref_200,0.0,0.1,1.0
Sys_VAR_ref_200,0.0,0.12,1.0
Sys_VAR_ref_200,0.0,0.14,1.0
Sys_VAR_ref_200,0.0,0.16,1.0
Sys_VAR_ref_200,0.0,0.18,1.0
Sys_VAR_ref_200,0.0,0.2,0.995
Sys_VAR_ref_200,0.0,0.22,0.985
Sys_VAR_ref_200,0.0,0.24,0.985
Sys_VAR_ref_200,0.0,0.26,0.965
Sys_VAR_ref_200,0.0,0.28,0.95
Sys_VAR_ref_200,0.0,0.3,0.94
Sys_VAR_ref_200,0.0,0.32,0.85
Sys_VAR_ref_200,0.0,0.34,0.835
Sys_VAR_ref_200,0.0,0.36,0.83
Sys_VAR_ref_200,0.0,0.38,0.8
Sys_VAR_ref_200,0.0,0.4,0.79
Sys_VAR_ref_200,0.0,0.42,0.745
Sys_VAR_ref_200,0.0,0.44,0.725
Sys_VAR_ref_200,0.0,0.46,0.71
Sys_VAR_ref_200,0.0,0.48,0.675
Sys_VAR_ref_200,0.0,0.5,0.665
Sys_VAR_ref_200,0.0,0.52,0.645
Sys_VAR_ref_200,0.0,0.54,0.6
Sys_VAR_ref_200,0.0,0.56,0.575
Sys_VAR_ref_200,0.0,0.58,0.535
Sys_VAR_ref_200,0.0,0.6,0.48
Sys_VAR_ref_200,0.0,0.62,0.45
Sys_VAR_ref_200,0.0,0.64,0.4
Sys_VAR_ref_200,0.0,0.66,0.39
Sys_VAR_ref_200,0.0,0.68,0.35
Sys_VAR_ref_200,0.0,0.7,0.325
Sys_VAR_ref_200,0.0,0.72,0.285
Sys_VAR_ref_200,0.0,0.74,0.25
Sys_VAR_ref_200,0.0,0.76,0.195
Sys_VAR_ref_200,0.0,0.78,0.155
Sys_VAR_ref_200,0.0,0.8,0.135
Sys_VAR_ref_200,0.0,0.82,0.105
Sys_VAR_ref_200,0.0,0.84,0.075
Sys_VAR_ref_200,0.0,0.86,0.06
Sys_VAR_ref_200,0.0,0.88,0.06
Sys_VAR_ref_200,0.0,0.9,0.05
Sys_VAR_ref_200,0.0,0.92,0.045
Sys_VAR_ref_200,0.0,0.94,0.04
Sys_VAR_ref_200,0.0,0.96,0.04
Sys_VAR_ref_200,0.0,0.98,0.03
Sys_VAR_ref_200,0.0,1.0,0.0
Sys_VAR_ref_200,0.02,0.0,0.975
Sys_VAR_ref_200,0.02,0.02,0.975
Sys_VAR_ref_200,0.02,0.04,0.975
Sys_VAR_ref_200,0.02,0.06,0.975
Sys_VAR_ref_200,0.02,0.08,0.975
Sys_VAR_ref_200,0.02,0.1,0.975
Sys_VAR_ref_200,0.02,0.12,0.975
Sys_VAR_ref_200,0.02,0.14,0.975
Sys_VAR_ref_200,0.02,0.16,0.975
Sys_VAR_ref_200,0.02,0.18,0.975
Sys_VAR_ref_200,0.02,0.2,0.97
Sys_VAR_ref_200,0.02,0.22,0.96
Sys_VAR_ref_200,0.02,0.24,0.96
Sys_VAR_ref_200,0.02,0.26,0.95
Sys_VAR_ref_200,0.02,0.28,0.935
Sys_VAR_ref_200,0.02,0.3,0.93
Sys_VAR_ref_200,0.02,0.32,0.845
Sys_VAR_ref_200,0.02,0.34,0.83
Sys_VAR_ref_200,0.02,0.36,0.825
Sys_VAR_ref_200,0.02,0.38,0.795
Sys_VAR_ref_200,0.02,0.4,0.785
Sys_VAR_ref_200,0.02,0.42,0.74
Sys_VAR_ref_200,0.02,0.44,0.72
Sys_VAR_ref_200,0.02,0.46,0.705
Sys_VAR_ref_200,0.02,0.48,0.67
Sys_VAR_ref_200,0.02,0.5,0.66
Sys_VAR_ref_200,0.02,0.52,0.64
Sys_VAR_ref_200,0.02,0.54,0.595
Sys_VAR_ref_200,0.02,0.56,0.57
Sys_VAR_ref_200,0.02,0.58,0.53
Sys_VAR_ref_200,0.02,0.6,0.48
Sys_VAR_ref_200,0.02,0.62,0.45
Sys_VAR_ref_200,0.02,0.64,0.4
Sys_VAR_ref_200,0.02,0.66,0.39
Sys_VAR_ref_200,0.02,0.68,0.35
Sys_VAR_ref_200,0.02,0.7,0.325
Sys_VAR_ref_200,0.02,0.72,0.285
Sys_VAR_ref_200,0.02,0.74,0.25
Sys_VAR_ref_200,0.02,0.76,0.195
Sys_VAR_ref_200,0.02,0.78,0.155
Sys_VAR_ref_200,0.02,0.8,0.135
Sys_VAR_ref_200,0.02,0.82,0.105
Sys_VAR_ref_200,0.02,0.84,0.075
Sys_VAR_ref_200,0.02,0.86,0.06
