source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_VAR_ref_200_1,4,0.95,0.6,0.58,0.71
Sys_VAR_ref_200_1,7,0.89,0.57,0.52,0.67
Sys_VAR_ref_200_1,10,0.95,0.65,0.61,0.71
Sys_VAR_ref_200_1,25,0.8,0.67,0.53,0.69
Sys_VAR_ref_200_1,35,0.75,0.63,0.51,0.68
Sys_VAR_ref_200_1,39,0.87,0.64,0.59,0.7
Sys_VAR_ref_200_1,49,0.56,0.66,0.36,0.59
Sys_VAR_ref_200_1,51,0.81,0.36,0.29,0.49
Sys_VAR_ref_200_1,52,0.98,0.98,0.95,0.98
Sys_VAR_ref_200_1,64,0.92,0.76,0.71,0.82
Sys_VAR_ref_200_1,80,0.87,0.3,0.26,0.44
Sys_VAR_ref_200_1,97,0.75,0.75,0.56,0.74
Sys_VAR_ref_200_1,106,0.97,0.52,0.51,0.65
Sys_VAR_ref_200_1,116,0.96,0.87,0.84,0.91
Sys_VAR_ref_200_1,118,0.85,0.55,0.47,0.67
Sys_VAR_ref_200_1,129,0.77,0.46,0.36,0.58
Sys_VAR_ref_200_1,144,0.7,0.3,0.21,0.42
Sys_VAR_ref_200_1,147,0.77,0.56,0.47,0.65
Sys_VAR_ref_200_1,150,0.87,0.58,0.52,0.69
Sys_VAR_ref_200_1,156,0.87,0.55,0.48,0.66
Sys_VAR_ref_200_1,159,0.86,0.56,0.5,0.68
Sys_VAR_ref_200_1,281,0.78,0.3,0.23,0.43
Sys_VAR_ref_200_1,300,0.99,0.98,0.97,0.98
Sys_VAR_ref_200_1,322,0.93,0.66,0.62,0.77
Sys_VAR_ref_200_1,330,0.85,0.45,0.4,0.58
Sys_VAR_ref_200_1,333,0.56,0.3,0.17,0.39
Sys_VAR_ref_200_1,339,0.77,0.39,0.3,0.51
Sys_VAR_ref_200_1,347,0.98,0.8,0.78,0.88
Sys_VAR_ref_200_1,356,0.98,0.8,0.78,0.87
Sys_VAR_ref_200_1,365,0.89,0.56,0.52,0.68
Sys_VAR_ref_200_1,370,0.85,0.54,0.47,0.66
Sys_VAR_ref_200_1,389,0.6,0.58,0.39,0.59
Sys_VAR_ref_200_1,392,0.95,0.75,0.72,0.84
Sys_VAR_ref_200_1,394,0.95,0.97,0.93,0.96
Sys_VAR_ref_200_1,396,0.96,0.75,0.72,0.84
Sys_VAR_ref_200_1,400,0.88,0.52,0.44,0.61
Sys_VAR_ref_200_1,405,0.7,0.5,0.36,0.58
Sys_VAR_ref_200_1,406,0.97,0.74,0.72,0.84
Sys_VAR_ref_200_1,413,0.88,0.44,0.39,0.57
Sys_VAR_ref_200_1,415,0.5,0.65,0.36,0.45
Sys_VAR_ref_200_1,419,0.59,0.56,0.34,0.53
Sys_VAR_ref_200_1,421,0.63,0.4,0.27,0.48
Sys_VAR_ref_200_1,426,0.67,0.4,0.27,0.5
Sys_VAR_ref_200_1,429,0.4,0.5,0.28,0.39
Sys_VAR_ref_200_1,432,0.9,0.65,0.59,0.75
Sys_VAR_ref_200_1,443,0.62,0.88,0.6,0.69
Sys_VAR_ref_200_1,446,0.58,0.67,0.35,0.53
Sys_VAR_ref_200_1,453,0.9,0.47,0.42,0.62
Sys_VAR_ref_200_1,461,0.73,0.66,0.48,0.69
Sys_VAR_ref_200_1,477,0.65,0.42,0.26,0.47
