score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_1,User_VAR_200_1,individual,200,4.44,102,98,0.7756
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_1,User_VAR_200_2,individual,200,4.38,109,91,0.8418
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_1,User_VAR_200_3,individual,200,4.44,104,96,0.8168
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_2,User_VAR_200_1,individual,200,4.44,102,98,0.8018
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_2,User_VAR_200_2,individual,200,4.38,109,91,0.8065
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_2,User_VAR_200_3,individual,200,4.44,104,96,0.8126
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_3,User_VAR_200_1,individual,200,4.44,102,98,0.8025
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_3,User_VAR_200_2,individual,200,4.38,109,91,0.8249
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_3,User_VAR_200_3,individual,200,4.44,104,96,0.7997
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_1,User_VAR_200_1,individual,200,3.0,130,70,0.769
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_1,User_VAR_200_2,individual,200,3.0,134,66,0.8007
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_1,User_VAR_200_3,individual,200,3.0,136,64,0.7688
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_2,User_VAR_200_1,individual,200,3.0,130,70,0.8103
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_2,User_VAR_200_2,individual,200,3.0,134,66,0.8146
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_2,User_VAR_200_3,individual,200,3.0,136,64,0.7976
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_3,User_VAR_200_1,individual,200,3.0,130,70,0.7889
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_3,User_VAR_200_2,individual,200,3.0,134,66,0.8076
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200_3,User_VAR_200_3,individual,200,3.0,136,64,0.7881
alignment_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200 (avg),Human_VAR_200 (avg),group_avg,200,4.43,100,100,0.8638
authenticity_score,Sys_VAR_ref_200,Human_VAR_200,Sys_VAR_ref_200 (avg),Human_VAR_200 (avg),group_avg,200,3.0,121,79,0.8693
