score_type,system_group,system_mean,human_mean,mean_diff (sys-human),median_diff (sys-human),pct_sys_higher (%),pct_sys_lower (%),pearson_r (avg-vs-avg),spearman_r (avg-vs-avg),icc_2_1 (avg-vs-avg),icc_3_1 (avg-vs-avg)
alignment_score,Sys_VAR_ref_200,3.8145,3.9357,-0.1212,-0.15,34.0,64.5,0.7615,0.6848,0.7551,0.7574
authenticity_score,Sys_VAR_ref_200,2.9132,3.1083,-0.1951,-0.1633,41.5,58.0,0.7343,0.7196,0.7212,0.7343
