score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_VAR_ref_200_1,Sys_VAR_ref_200_2,200,0.8942,0.0,0.7979,0.0,0.8942,0.8939
alignment_score,Sys_VAR_ref_200_1,Sys_VAR_ref_200_3,200,0.8615,0.0,0.7884,0.0,0.8605,0.8611
alignment_score,Sys_VAR_ref_200_1,User_VAR_200_1,200,0.6591,0.0,0.5536,0.0,0.6516,0.6531
alignment_score,Sys_VAR_ref_200_1,User_VAR_200_2,200,0.6708,0.0,0.6171,0.0,0.6643,0.6641
alignment_score,Sys_VAR_ref_200_1,User_VAR_200_3,200,0.6817,0.0,0.6001,0.0,0.6736,0.6734
alignment_score,Sys_VAR_ref_200_2,Sys_VAR_ref_200_3,200,0.8688,0.0,0.7701,0.0,0.869,0.8688
alignment_score,Sys_VAR_ref_200_2,User_VAR_200_1,200,0.6925,0.0,0.5985,0.0,0.6851,0.6882
alignment_score,Sys_VAR_ref_200_2,User_VAR_200_2,200,0.6827,0.0,0.5837,0.0,0.6772,0.6779
alignment_score,Sys_VAR_ref_200_2,User_VAR_200_3,200,0.7157,0.0,0.6056,0.0,0.7086,0.7093
alignment_score,Sys_VAR_ref_200_3,User_VAR_200_1,200,0.7345,0.0,0.6218,0.0,0.7243,0.7303
alignment_score,Sys_VAR_ref_200_3,User_VAR_200_2,200,0.6535,0.0,0.5991,0.0,0.6471,0.6492
alignment_score,Sys_VAR_ref_200_3,User_VAR_200_3,200,0.6435,0.0,0.5868,0.0,0.6362,0.6382
alignment_score,User_VAR_200_1,User_VAR_200_2,200,0.7976,0.0,0.7976,0.0,0.7979,0.7976
alignment_score,User_VAR_200_1,User_VAR_200_3,200,0.8054,0.0,0.8038,0.0,0.8054,0.8052
alignment_score,User_VAR_200_2,User_VAR_200_3,200,0.8303,0.0,0.8336,0.0,0.8309,0.8302
authenticity_score,Sys_VAR_ref_200_1,Sys_VAR_ref_200_2,200,0.6987,0.0,0.6974,0.0,0.6992,0.6981
authenticity_score,Sys_VAR_ref_200_1,Sys_VAR_ref_200_3,200,0.6735,0.0,0.6486,0.0,0.6739,0.6735
authenticity_score,Sys_VAR_ref_200_1,User_VAR_200_1,200,0.5303,0.0,0.5155,0.0,0.5228,0.5302
authenticity_score,Sys_VAR_ref_200_1,User_VAR_200_2,200,0.5624,0.0,0.5482,0.0,0.5534,0.5622
authenticity_score,Sys_VAR_ref_200_1,User_VAR_200_3,200,0.543,0.0,0.5282,0.0,0.5343,0.543
authenticity_score,Sys_VAR_ref_200_2,Sys_VAR_ref_200_3,200,0.6955,0.0,0.7026,0.0,0.6949,0.6948
authenticity_score,Sys_VAR_ref_200_2,User_VAR_200_1,200,0.6073,0.0,0.6033,0.0,0.5974,0.6072
authenticity_score,Sys_VAR_ref_200_2,User_VAR_200_2,200,0.6056,0.0,0.6003,0.0,0.5947,0.6055
authenticity_score,Sys_VAR_ref_200_2,User_VAR_200_3,200,0.616,0.0,0.6092,0.0,0.6042,0.6156
authenticity_score,Sys_VAR_ref_200_3,User_VAR_200_1,200,0.6089,0.0,0.6036,0.0,0.6043,0.6087
authenticity_score,Sys_VAR_ref_200_3,User_VAR_200_2,200,0.6129,0.0,0.616,0.0,0.6074,0.6126
authenticity_score,Sys_VAR_ref_200_3,User_VAR_200_3,200,0.5764,0.0,0.5681,0.0,0.5714,0.5764
authenticity_score,User_VAR_200_1,User_VAR_200_2,200,0.7278,0.0,0.7212,0.0,0.7288,0.7278
authenticity_score,User_VAR_200_1,User_VAR_200_3,200,0.6664,0.0,0.6504,0.0,0.6674,0.6663
authenticity_score,User_VAR_200_2,User_VAR_200_3,200,0.7018,0.0,0.6967,0.0,0.7027,0.7016
